City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,75.27,97,100,6.91,light rain
1,Busselton,AU,-33.65,115.3333,60.91,67,33,11.43,scattered clouds
2,Hermanus,ZA,-34.4187,19.2345,51.8,66,97,17.56,light rain
3,Kapaa,US,22.0752,-159.319,73.72,87,100,17.27,overcast clouds
4,Provideniya,RU,64.3833,-173.3,35.4,96,99,5.57,light rain
5,Ushuaia,AR,-54.8,-68.3,40.62,81,0,4.61,clear sky
6,Atuona,PF,-9.8,-139.0333,77.27,73,39,19.8,scattered clouds
7,La Ciotat,FR,43.1748,5.6045,91.8,75,16,9.13,few clouds
8,Bahia Blanca,AR,-38.7196,-62.2724,58.78,41,100,11.68,overcast clouds
9,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
10,Sturgis,US,41.7992,-85.4192,89.85,77,0,5.75,clear sky
11,Grand Forks,US,47.9417,-97.4337,69.78,88,75,10.36,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,73.08,70,26,9.51,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,43.48,92,100,13.42,light rain
14,Bustamante,MX,26.5333,-100.5,92.14,33,39,13.49,scattered clouds
15,Mattru,SL,7.6244,-11.8332,81.63,71,98,5.08,light rain
16,Srednekolymsk,RU,67.45,153.6833,60.71,42,0,4.25,clear sky
17,Progreso,MX,21.2833,-89.6667,87.91,57,56,11.9,broken clouds
18,Longyearbyen,SJ,78.2186,15.6401,44.44,61,40,19.57,scattered clouds
19,Kavaratti,IN,10.5669,72.642,83.39,77,94,13.13,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,70.32,43,75,6.91,broken clouds
21,Asau,RO,46.4333,26.4,67.12,72,92,3.24,overcast clouds
22,Baoding,CN,38.8511,115.4903,69.46,68,9,4.21,clear sky
23,Saint-Augustin,CA,51.226,-58.6502,68.76,44,68,12.53,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,60.19,47,69,3.0,broken clouds
