City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kearney,US,2022-06-13 18:13:08,40.6995,-99.0815,97.36,34,0,16.11
182,Mount Gambier,AU,2022-06-13 18:17:23,-37.8333,140.7667,43.5,85,87,6.91
183,Hofn,IS,2022-06-13 18:17:24,64.2539,-15.2082,50.02,93,100,4.61
184,Gumdag,TM,2022-06-13 18:17:24,39.2061,54.5906,91.69,16,0,12.21
185,Qingdao,CN,2022-06-13 18:18:24,36.0986,120.3719,65.8,94,0,6.71
186,Parfenyevo,RU,2022-06-13 18:18:25,58.484,43.4088,58.28,74,94,5.35
187,Upernavik,GL,2022-06-13 18:18:25,72.7868,-56.1549,31.14,82,87,6.87
188,Kudahuvadhoo,MV,2022-06-13 18:18:25,2.6708,72.8944,83.08,73,96,7.7
189,Avarua,CK,2022-06-13 18:16:31,-21.2078,-159.775,69.85,88,20,2.3
190,Vila Franca Do Campo,PT,2022-06-13 18:18:27,37.7167,-25.4333,69.19,72,29,10.63
191,Cadillac,US,2022-06-13 18:18:27,44.2519,-85.4012,78.08,53,0,8.05
192,Lodja,CD,2022-06-13 18:18:27,-3.4833,23.4333,76.69,63,80,0.76
193,Giovinazzo,IT,2022-06-13 18:18:28,41.1864,16.6674,79.81,60,0,3.44
194,Cabo San Lucas,MX,2022-06-13 18:18:22,22.8909,-109.9124,91.62,29,20,6.91
195,Mayumba,GA,2022-06-13 18:18:28,-3.432,10.6554,75.33,84,34,7.34
196,Chapleau,CA,2022-06-13 18:18:28,47.8405,-83.4034,69.89,46,40,4.61
197,Yulara,AU,2022-06-13 18:18:29,-25.2406,130.9889,55.2,35,0,5.61
198,Aksu,CN,2022-06-13 18:18:29,41.1231,80.2644,83.14,11,23,8.14
199,Zaysan,KZ,2022-06-13 18:18:29,47.4667,84.8667,66.76,70,73,5.03
200,Lompoc,US,2022-06-13 18:13:48,34.6391,-120.4579,78.85,66,0,23.0
201,Mount Vernon,US,2022-06-13 18:18:30,40.9126,-73.8371,86.95,65,75,9.22
202,Qaanaaq,GL,2022-06-13 18:18:30,77.484,-69.3632,30.9,60,1,2.46
203,Souillac,MU,2022-06-13 18:18:30,-20.5167,57.5167,73.78,68,75,19.57
204,Barcelos,PT,2022-06-13 18:15:15,41.5388,-8.6151,87.91,53,33,3.58
205,Broome,US,2022-06-13 18:18:31,42.2506,-75.833,78.66,54,0,11.01
206,Clyde River,CA,2022-06-13 18:18:31,70.4692,-68.5914,37.63,81,100,3.44
207,Vanimo,PG,2022-06-13 18:18:32,-2.6741,141.3028,76.77,89,16,6.31
208,Abu Kamal,SY,2022-06-13 18:18:32,34.4506,40.9171,87.85,26,0,7.02
209,Praia Da Vitoria,PT,2022-06-13 18:18:32,38.7333,-27.0667,68.25,83,20,10.94
210,Ahuimanu,US,2022-06-13 18:18:33,21.4447,-157.8378,82.11,68,75,14.97
211,Kalianget,ID,2022-06-13 18:18:33,-7.05,113.9333,80.19,82,98,9.89
212,Mount Isa,AU,2022-06-13 18:18:33,-20.7333,139.5,40.77,65,27,0.0
213,Outlook,CA,2022-06-13 18:18:34,51.5001,-107.0513,67.23,68,100,1.95
214,Kottagudem,IN,2022-06-13 18:18:34,17.55,80.6333,88.12,54,82,1.77
215,Melioratorov,RU,2022-06-13 18:18:35,57.2107,65.6077,52.18,100,100,6.71
216,Tarbert,GB,2022-06-13 18:18:35,55.8628,-5.4162,55.51,69,100,9.93
217,Xuddur,SO,2022-06-13 18:18:35,4.1213,43.8894,79.12,58,97,17.85
218,Vestmannaeyjar,IS,2022-06-13 18:18:36,63.4427,-20.2734,49.19,100,100,17.27
219,Pangnirtung,CA,2022-06-13 18:18:36,66.1451,-65.7125,39.2,81,75,21.85
220,Barranca,PE,2022-06-13 18:18:36,-10.75,-77.7667,66.94,69,79,9.13
221,Altamira,BR,2022-06-13 18:18:36,-3.2033,-52.2064,84.2,73,55,1.86
222,Kralendijk,BQ,2022-06-13 18:17:17,12.15,-68.2667,87.78,62,40,20.71
223,Ketchikan,US,2022-06-13 18:15:50,55.3422,-131.6461,55.87,67,100,8.05
224,Tarauaca,BR,2022-06-13 18:14:25,-8.1614,-70.7656,79.34,41,23,3.94
225,Itoman,JP,2022-06-13 18:16:46,26.1247,127.6694,81.37,96,20,19.57
226,Jonesboro,US,2022-06-13 18:15:16,35.8423,-90.7043,96.57,53,0,15.01
227,Te Anau,NZ,2022-06-13 18:18:37,-45.4167,167.7167,42.51,88,98,13.49
228,Tazovskiy,RU,2022-06-13 18:18:38,67.4667,78.7,51.31,71,96,18.1
229,Tevaitoa,PF,2022-06-13 18:18:38,-16.7833,-151.5,79.32,68,16,19.95
230,Anadyr,RU,2022-06-13 18:18:38,64.75,177.4833,43.3,56,0,11.18
231,Iquique,CL,2022-06-13 18:18:39,-20.2208,-70.1431,62.64,70,43,5.77
