City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
486,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
492,Tumpat,MY,80.58,few clouds,6.1978,102.171,Baan Tanyong B&B
494,Shiyan,CN,70.47,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
496,Quepos,CR,83.23,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
497,Abu Samrah,SY,75.96,clear sky,35.3029,37.1841,
502,Tucurui,BR,86.4,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
504,Saint-Francois,FR,83.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
506,Ciudad Bolivar,VE,83.86,overcast clouds,8.1222,-63.5497,Hotel Edi
507,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
508,Baindur,IN,81.59,broken clouds,13.8667,74.6333,Sai Vishram Beach Resort (Pure Veg and No Alcohol)
509,Freeport,US,80.26,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
510,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
512,Dossor,KZ,78.46,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
514,Inhambane,MZ,75.18,clear sky,-23.865,35.3833,Oceano
515,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
516,Vankleek Hill,CA,76.55,few clouds,45.5168,-74.6493,Maple Lea Farm B & B
518,Malvern,US,88.63,clear sky,34.3623,-92.813,Americas Best Value Inn Malvern
519,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
522,Banda Aceh,ID,78.46,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
523,Palasa,IN,82.81,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
525,Tiarei,PF,71.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
528,Tura,IN,73.96,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
530,Rovato,IT,85.19,clear sky,45.5658,10.0001,Hotel Touring
533,San Ignacio,BZ,82.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
535,Tucuma,BR,83.59,broken clouds,-0.1833,-50.05,
537,Buala,SB,79.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
539,Malanje,AO,70.43,broken clouds,-9.5402,16.341,Hotel Ginga
540,Fowa,NG,85.66,light rain,8.9167,6.4,
543,Ferme-Neuve,CA,71.33,scattered clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
545,Asfi,MA,71.74,broken clouds,32.2994,-9.2372,Hôtel Abda
549,Teknaf,BD,81.5,broken clouds,20.8624,92.3058,Forestry Guesthouse
550,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
552,Ratnagiri,IN,82.49,overcast clouds,16.9833,73.3,Hotel Landmark
553,Shihezi,CN,74.16,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
555,Itarema,BR,83.73,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
556,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
557,Hanover,DE,73.83,clear sky,52.3705,9.7332,Central Hotel Kaiserhof
558,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Alize Plage
559,Cockburn Town,TC,80.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
560,Mbandaka,CD,76.46,overcast clouds,0.0487,18.2603,Guest House Epervier
561,Det Udom,TH,80.42,overcast clouds,14.906,105.0784,Chatsuda Resort
563,Shenjiamen,CN,71.64,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
564,Sao Caitano,BR,78.03,broken clouds,-8.3258,-36.1428,Pousada dona maria
565,Charagua,BO,74.77,clear sky,-19.8,-63.2167,Hotel
567,Meadow Lake,US,85.41,clear sky,34.8014,-106.5436,TumbleWeed RV Park
570,Jingdezhen,CN,70.21,heavy intensity rain,29.2947,117.2079,Garden Hotel
571,Takoradi,GH,81.46,broken clouds,4.8845,-1.7554,Raybow International Hotel
572,Le Vauclin,MQ,80.85,mist,14.5452,-60.8388,Hôtel Cap Macabou
573,Yenagoa,NG,78.76,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
574,Sinnamary,GF,82.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
576,Kotturu,IN,79.68,broken clouds,14.8167,76.2167,Haripriya Landmark Hotel
583,Ilheus,BR,80.42,broken clouds,-14.7889,-39.0494,Barravento Hotel
584,Dingle,PH,78.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
587,Lethem,GY,83.25,broken clouds,3.3803,-59.7968,Savannah Inn
591,Along,IN,72.46,light rain,28.1667,94.7667,Hotel West
593,Batticaloa,LK,75.92,overcast clouds,7.7102,81.6924,Grand Star Guest House
596,Marzuq,YE,85.42,broken clouds,14.4,46.4667,
599,Kestel,TR,76.48,clear sky,40.1983,29.2124,UZUNOĞLU APART
600,Kananga,CD,81.99,broken clouds,-5.8958,22.4178,Guest House Wood Land
601,Weiden,DE,75.42,clear sky,49.6775,12.1567,Klassik Hotel am Tor
604,Zabid,YE,86.88,broken clouds,14.1951,43.3152,مغرب التريبه
605,Umm Bab,QA,89.92,clear sky,25.2142,50.8072,
607,Weligama,LK,79.9,overcast clouds,5.9667,80.4167,Weligama Bay Resort
612,Mangan,IN,75.67,overcast clouds,27.5167,88.5333,Hotel Mout View
613,Bonfim,BR,81.64,broken clouds,3.0833,-59.95,
617,Metro,ID,74.71,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
619,Tukrah,LY,75.24,clear sky,32.5341,20.5791,Lagrota restaurant
622,Puerto Cabello,VE,72.95,overcast clouds,10.4731,-68.0125,Las Palmeras
624,Lianzhou,CN,72.82,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
625,Macau,MO,78.6,few clouds,22.2006,113.5461,Grand Emperor Hotel
631,Labuhan,ID,79.27,broken clouds,-6.8844,112.2051,DoubleFAG
635,Waingapu,ID,76.51,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
638,Sarh,TD,80.82,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
639,Teluk Nibung,ID,77.56,overcast clouds,3.001,99.8164,Hotel Assyifa
640,Kaseda,JP,70.95,light rain,31.4167,130.3167,Sun Stay Kaseda
643,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
646,Baft,IR,76.03,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
648,Apomu,NG,76.96,moderate rain,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
651,Porteirinha,BR,77.49,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
654,Pocao De Pedras,BR,84.25,scattered clouds,-4.6667,-44.85,Hotel Magazine
660,Varzelandia,BR,76.64,broken clouds,-15.7014,-44.0275,Pousada Portal da Cidade
664,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
665,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
666,Bulungu,CD,81.7,broken clouds,-4.55,18.6,Maison MC Michel
667,Hoi An,VN,80.56,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
670,Altus,US,89.67,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
671,Ugoofaaru,MV,83.3,broken clouds,5.6667,73.0,Ungoofaaru Inn
672,Mpanda,TZ,71.28,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
673,Hilversum,NL,71.26,clear sky,52.2233,5.1764,Gooiland Hotel
675,Samarkand,UZ,80.02,clear sky,39.6542,66.9597,Ideal Hotel
677,Nago,JP,79.65,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
678,Aksu,CN,82.58,few clouds,41.1231,80.2644,Pudong Holiday Hotel
680,Acajutla,SV,80.73,overcast clouds,13.5928,-89.8275,Laureles
